episode,step,test,speed,lidar_min,lidar_mean,lidar_max,previous_actions,raw_action,applied_noise,final_action,reward,terminated,truncated
0,0,True,0.0,0.0,1.6315789222717285,9.0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[0.6048241853713989, -0.028491323813796043, -0.26332083344459534]","[0.0, 0.0, 0.0]","[0.6048241853713989, -0.028491323813796043, -0.26332083344459534]",0.0,False,False
0,1,True,0.0,0.0,1.6315789222717285,9.0,"[[0.0, 0.0, 0.0], [0.6048241853713989, -0.028491323813796043, -0.26332083344459534]]","[0.9408342242240906, 0.06769848614931107, -0.2848198413848877]","[0.0, 0.0, 0.0]","[0.9408342242240906, 0.06769848614931107, -0.2848198413848877]",0.0,False,False
0,2,True,0.005436403211206198,0.0,1.6315789222717285,9.0,"[[0.6048241853713989, -0.028491323813796043, -0.26332083344459534], [0.9408342242240906, 0.06769848614931107, -0.2848198413848877]]","[0.999342679977417, 0.08860032260417938, -0.2822760045528412]","[0.0, 0.0, 0.0]","[0.999342679977417, 0.08860032260417938, -0.2822760045528412]",0.0,False,False
0,3,True,0.008273589424788952,0.0,1.6315789222717285,9.0,"[[0.9408342242240906, 0.06769848614931107, -0.2848198413848877], [0.999342679977417, 0.08860032260417938, -0.2822760045528412]]","[0.9998860359191895, 0.048915617167949677, -0.2604762613773346]","[0.0, 0.0, 0.0]","[0.9998860359191895, 0.048915617167949677, -0.2604762613773346]",0.0,False,False
0,4,True,0.7654858827590942,0.0,1.75,9.0,"[[0.999342679977417, 0.08860032260417938, -0.2822760045528412], [0.9998860359191895, 0.048915617167949677, -0.2604762613773346]]","[0.5131519436836243, 0.018639447167515755, 0.1781548261642456]","[0.0, 0.0, 0.0]","[0.5131519436836243, 0.018639447167515755, 0.1781548261642456]",0.0,False,False
0,5,True,1.559372067451477,0.0,2.1578948497772217,24.0,"[[0.9998860359191895, 0.048915617167949677, -0.2604762613773346], [0.5131519436836243, 0.018639447167515755, 0.1781548261642456]]","[0.8420412540435791, -0.12588313221931458, 0.05237691104412079]","[0.0, 0.0, 0.0]","[0.8420412540435791, -0.12588313221931458, 0.05237691104412079]",0.0,False,False
0,6,True,2.016653060913086,0.0,2.3552632331848145,24.0,"[[0.5131519436836243, 0.018639447167515755, 0.1781548261642456], [0.8420412540435791, -0.12588313221931458, 0.05237691104412079]]","[0.9735159277915955, -0.004636074882000685, -0.4539332389831543]","[0.0, 0.0, 0.0]","[0.9735159277915955, -0.004636074882000685, -0.4539332389831543]",0.0,False,False
0,7,True,1.944390892982483,0.0,2.736842155456543,24.0,"[[0.8420412540435791, -0.12588313221931458, 0.05237691104412079], [0.9735159277915955, -0.004636074882000685, -0.4539332389831543]]","[0.9231224060058594, -0.01867159642279148, -0.04925353452563286]","[0.0, 0.0, 0.0]","[0.9231224060058594, -0.01867159642279148, -0.04925353452563286]",0.0,False,False
0,8,True,2.711672782897949,0.0,2.9342105388641357,24.0,"[[0.9735159277915955, -0.004636074882000685, -0.4539332389831543], [0.9231224060058594, -0.01867159642279148, -0.04925353452563286]]","[0.809181272983551, 0.0600215420126915, 0.028190219774842262]","[0.0, 0.0, 0.0]","[0.809181272983551, 0.0600215420126915, 0.028190219774842262]",0.0,False,False
0,9,True,3.4755637645721436,0.0,2.9473683834075928,24.0,"[[0.9231224060058594, -0.01867159642279148, -0.04925353452563286], [0.809181272983551, 0.0600215420126915, 0.028190219774842262]]","[0.9839480519294739, -0.2694535255432129, -0.05254577472805977]","[0.0, 0.0, 0.0]","[0.9839480519294739, -0.2694535255432129, -0.05254577472805977]",0.019999999552965164,False,False
0,10,True,4.4184346199035645,0.0,3.236842155456543,24.0,"[[0.809181272983551, 0.0600215420126915, 0.028190219774842262], [0.9839480519294739, -0.2694535255432129, -0.05254577472805977]]","[0.9778918623924255, 0.08464530855417252, -0.0003629848069977015]","[0.0, 0.0, 0.0]","[0.9778918623924255, 0.08464530855417252, -0.0003629848069977015]",0.019999999552965164,False,False
0,11,True,5.049321174621582,0.0,2.9342105388641357,24.0,"[[0.9839480519294739, -0.2694535255432129, -0.05254577472805977], [0.9778918623924255, 0.08464530855417252, -0.0003629848069977015]]","[0.9660447835922241, 0.2070981115102768, 0.1586567759513855]","[0.0, 0.0, 0.0]","[0.9660447835922241, 0.2070981115102768, 0.1586567759513855]",0.03999999910593033,False,False
0,12,True,5.997160911560059,0.0,3.263157844543457,24.0,"[[0.9778918623924255, 0.08464530855417252, -0.0003629848069977015], [0.9660447835922241, 0.2070981115102768, 0.1586567759513855]]","[0.9931489825248718, -0.04526387155056, 0.06611817330121994]","[0.0, 0.0, 0.0]","[0.9931489825248718, -0.04526387155056, 0.06611817330121994]",0.019999999552965164,False,False
0,13,True,6.6298017501831055,0.0,3.4342105388641357,24.0,"[[0.9660447835922241, 0.2070981115102768, 0.1586567759513855], [0.9931489825248718, -0.04526387155056, 0.06611817330121994]]","[0.9856734871864319, -0.12976223230361938, -0.0838368684053421]","[0.0, 0.0, 0.0]","[0.9856734871864319, -0.12976223230361938, -0.0838368684053421]",0.03999999910593033,False,False
0,14,True,7.579089164733887,0.0,3.6578948497772217,24.0,"[[0.9931489825248718, -0.04526387155056, 0.06611817330121994], [0.9856734871864319, -0.12976223230361938, -0.0838368684053421]]","[0.9896970391273499, 0.05376438796520233, -0.15701182186603546]","[0.0, 0.0, 0.0]","[0.9896970391273499, 0.05376438796520233, -0.15701182186603546]",0.029999999329447746,False,False
0,15,True,8.21214771270752,0.0,4.6184210777282715,25.0,"[[0.9856734871864319, -0.12976223230361938, -0.0838368684053421], [0.9896970391273499, 0.05376438796520233, -0.15701182186603546]]","[0.9926159381866455, 0.04012083262205124, -0.07845967262983322]","[0.0, 0.0, 0.0]","[0.9926159381866455, 0.04012083262205124, -0.07845967262983322]",0.05999999865889549,False,False
0,16,True,9.1607084274292,0.0,4.473684310913086,25.0,"[[0.9896970391273499, 0.05376438796520233, -0.15701182186603546], [0.9926159381866455, 0.04012083262205124, -0.07845967262983322]]","[0.9999393820762634, -0.3038715720176697, -0.1465364247560501]","[0.0, 0.0, 0.0]","[0.9999393820762634, -0.3038715720176697, -0.1465364247560501]",0.029999999329447746,False,False
0,17,True,9.792140007019043,0.0,4.539473533630371,26.0,"[[0.9926159381866455, 0.04012083262205124, -0.07845967262983322], [0.9999393820762634, -0.3038715720176697, -0.1465364247560501]]","[0.9999825954437256, 0.08403234928846359, -0.17440077662467957]","[0.0, 0.0, 0.0]","[0.9999825954437256, 0.08403234928846359, -0.17440077662467957]",0.05000000074505806,False,False
0,18,True,10.581010818481445,0.0,4.013157844543457,26.0,"[[0.9999393820762634, -0.3038715720176697, -0.1465364247560501], [0.9999825954437256, 0.08403234928846359, -0.17440077662467957]]","[0.9961839914321899, -0.12566125392913818, -0.23591645061969757]","[0.0, 0.0, 0.0]","[0.9961839914321899, -0.12566125392913818, -0.23591645061969757]",0.05000000074505806,False,False
0,19,True,11.211727142333984,0.0,3.4210526943206787,26.0,"[[0.9999825954437256, 0.08403234928846359, -0.17440077662467957], [0.9961839914321899, -0.12566125392913818, -0.23591645061969757]]","[0.9999754428863525, 0.15042133629322052, -0.05502365902066231]","[0.0, 0.0, 0.0]","[0.9999754428863525, 0.15042133629322052, -0.05502365902066231]",0.07000000029802322,False,False
0,20,True,12.157625198364258,0.0,3.263157844543457,26.0,"[[0.9961839914321899, -0.12566125392913818, -0.23591645061969757], [0.9999754428863525, 0.15042133629322052, -0.05502365902066231]]","[0.9996423721313477, -0.0908048003911972, -0.039497144520282745]","[0.0, 0.0, 0.0]","[0.9996423721313477, -0.0908048003911972, -0.039497144520282745]",0.07000000029802322,False,False
