epoch,round,memory_len,round_time,idle_time,loss_actor,loss_critic,loss_critic1,loss_critic2,q1_mean,q2_mean,target_q_mean,critic_grad_norm,actor_grad_norm,bc_reg_term,policy_updated,critic_warmup,total_updates,return_test,return_train,episode_length_test,episode_length_train,sampling_duration,training_step_duration,wall_time
3,6,7408.0,9.685751,0.0,-2.485628,0.02249,0.011579,0.010911,1.128168,1.128257,1.067356,0.740033,0.076944,0.012949,0.5,0.0,7300.5,0.0,9.46,81.0,123.0,0.025342,0.023034,1789805340.7433586
3,7,7651.0,10.259489,0.0,-2.484597,0.023683,0.011852,0.011831,1.154515,1.154487,1.093377,0.803488,0.084425,0.013924,0.5,0.0,7500.5,0.0,16.639608,81.0,233.67,0.024065,0.022176,1789805351.252479
3,8,7939.0,14.513949,0.0,-2.484101,0.024746,0.012689,0.012057,1.187199,1.187192,1.126475,0.785537,0.083672,0.014414,0.5,0.0,7700.5,0.0,21.877554,81.0,274.175,0.024628,0.022866,1789805365.7637677
3,9,8066.0,9.885907,0.0,-2.483632,0.028684,0.014766,0.013918,1.219447,1.219253,1.15877,0.998841,0.075941,0.014634,0.5,0.0,7900.5,0.0,19.740499,81.0,242.725,0.022418,0.021971,1789805375.7723384
4,0,8946.0,44.557555,0.0,-2.484357,0.034598,0.017578,0.01702,1.264437,1.264584,1.202601,0.814465,0.077725,0.013771,0.5,0.0,8100.5,0.0,52.978039,81.0,607.92,0.024771,0.022893,1789805420.3047142
4,1,8946.0,8.766574,0.0,-2.48428,0.034601,0.017554,0.017047,1.280862,1.280885,1.219884,0.93644,0.084429,0.014038,0.5,0.0,8300.5,0.0,77.620056,81.0,879.0,0.022022,0.021761,1789805429.3126066
4,2,9050.0,9.135176,0.0,-2.484192,0.030786,0.015844,0.014942,1.308018,1.307923,1.246463,0.872044,0.071268,0.014183,0.5,0.0,8500.5,0.0,9.950003,81.0,103.0,0.023099,0.022511,1789805438.3204339
4,3,9151.0,9.81361,0.0,-2.484439,0.029703,0.015296,0.014407,1.336096,1.336257,1.275459,0.808379,0.067444,0.013996,0.5,0.0,8700.5,0.0,9.520001,81.0,100.0,0.026129,0.022897,1789805448.328606
4,4,9257.0,9.532282,0.0,-2.484916,0.03418,0.017704,0.016476,1.372922,1.372885,1.311287,0.859595,0.069538,0.013509,0.5,0.0,8900.5,0.0,9.400002,81.0,105.0,0.024973,0.022643,1789805457.8348734
4,5,9257.0,9.390242,0.0,-2.483935,0.033776,0.017352,0.016424,1.400151,1.399932,1.33949,0.980475,0.068924,0.014423,0.5,0.0,9100.5,0.0,9.400002,81.0,105.0,0.02428,0.02264,1789805467.34185
4,6,9829.0,9.217933,0.0,-2.483061,0.039241,0.019769,0.019472,1.433536,1.433732,1.372254,1.002186,0.071095,0.015112,0.5,0.0,9300.5,0.0,40.389393,81.0,424.21,0.023367,0.02266,1789805476.3498683
4,7,9829.0,10.125895,0.0,-2.483572,0.03826,0.019443,0.018818,1.465245,1.464954,1.403701,0.928533,0.072863,0.01455,0.5,0.0,9500.5,0.0,54.639996,81.0,571.0,0.026579,0.024011,1789805486.3587976
4,8,9829.0,9.648205,0.0,-2.483269,0.034993,0.017917,0.017076,1.480616,1.480518,1.419662,0.91204,0.076736,0.014955,0.5,0.0,9700.5,0.0,54.639996,81.0,571.0,0.025246,0.022953,1789805496.366453
4,9,10452.0,18.317144,0.0,-2.483834,0.04449,0.022558,0.021932,1.538026,1.5382,1.476281,1.101403,0.076066,0.014655,0.5,0.0,9900.5,0.0,60.40675,81.0,613.075,0.023971,0.022532,1789805514.8810754
